Latitude,Longitude,Pays,Ville_Proche
-15.1539362,-48.3294844,Brazil,Niquelândia
-15.1694138,-75.0313072,Peru,Nazca
-15.1924372,-47.6689088,Brazil,Formosa
-15.2017281,-56.3616232,Brazil,Cuiabá
-15.224906,-46.4179947,Brazil,Formosa
-15.2401957,-55.5467892,Brazil,Cuiabá
-15.2637726,-40.961764,Brazil,Itambé
-15.3271043,-49.1082874,Brazil,Goianésia
-15.3438433,-56.1849771,Brazil,Cuiabá
-15.356637,-69.503269,Peru,Putina
-15.3728319,-75.1542936,Peru,Nazca
-15.4530406,-44.3363259,Brazil,Januária
-15.4546372,-48.8860547,Brazil,Goianésia
-15.4733878,-55.7274976,Brazil,Cuiabá
-15.4742396,-56.3036308,Brazil,Cuiabá
-15.5039288,-40.8298927,Brazil,Itambé
-15.528651,-47.6876625,Brazil,Brasília
-15.5534579,-41.2610449,Brazil,Itambé
-15.5550403,-47.156369,Brazil,Formosa
-15.5829422,-55.099503,Brazil,Cuiabá
-15.5927205,-47.8743303,Brazil,Brasília
-15.6669399,-48.120077,Brazil,Brasília
-15.6747843,-56.3356745,Brazil,Várzea Grande
-15.6810402,-39.7248612,Brazil,Itapetinga
-15.6899766,-70.5297242,Peru,Juliaca
-15.7572066,-41.9174169,Brazil,Araçuaí
-15.7637004,-56.3448915,Brazil,Várzea Grande
-15.7989694,-71.3773657,Peru,Arequipa
-15.837099,-41.4033203,Brazil,Almenara
-15.8468232,-48.7633863,Brazil,Anápolis
-15.850488,-39.3930512,Brazil,Canavieiras
-15.8516005,-56.0800177,Brazil,Várzea Grande
-15.8550749,-48.6013752,Brazil,Anápolis
-15.8584979,-38.8816386,Brazil,Canavieiras
-15.8626269,-48.1685317,Brazil,Brasília
-15.8764796,-73.4505391,Peru,Coracora
-15.8840772,-71.3863277,Peru,Arequipa
-15.9256852,-49.2694035,Brazil,Inhumas
-15.9425713,-57.7850631,Brazil,Cáceres
-15.9949092,-56.4755029,Brazil,Várzea Grande
-15.9973985,142.4800908,Australia,Karumba
-16.0565749,129.1687881,Australia,Kununurra
-16.0589562,129.0906325,Australia,Kununurra
-16.066532,-45.8807865,Brazil,Paracatu
-16.1024429,-49.0302846,Brazil,Anápolis
-16.1237263,-48.1817906,Brazil,Brasília
-16.1285203,-43.9215961,Brazil,Montes Claros
-16.1768202,-68.9829333,Bolivia,Achacachi
-16.2298043,-41.4786125,Brazil,Almenara
-16.2702085,-49.5458255,Brazil,Inhumas
-16.3745751,-40.5435982,Brazil,Almenara
-16.3764513,-52.4514749,Brazil,Barra do Garças
-16.4283595,-54.6873853,Brazil,Rondonópolis
-16.4443791,136.062368,Australia,Burketown
-16.4677951,-54.516212,Brazil,Rondonópolis
-16.4714887,-54.4835969,Brazil,Rondonópolis
-16.4876709,-71.198169,Peru,Arequipa
-16.5420459,143.8374815,Australia,Port Douglas
-16.5681294,-42.8929484,Brazil,Araçuaí
-16.5807169,-52.0209611,Brazil,Barra do Garças
-16.5989812,145.3425877,Australia,Port Douglas
-16.6012298,-39.2971435,Brazil,Pôrto Seguro
-16.6264833,134.8523821,Australia,Katherine
-16.6473883,-49.5036249,Brazil,Trindade
-16.7097396,135.3536493,Australia,Katherine
-16.7157557,-47.6637616,Brazil,Cristalina
-16.7358131,-71.0029609,Peru,Moquegua
-16.7434566,135.7285921,Australia,Burketown
-16.7446071,-48.5111875,Brazil,Pires do Rio
-16.7583453,-69.9374883,Peru,Ilave
-16.8120161,145.697684,Australia,Cairns
-16.8565255,141.9704306,Australia,Karumba
-16.8608738,-43.7171236,Brazil,Montes Claros
-16.8776488,-49.2611982,Brazil,Goiânia
-16.9098326,-51.0523146,Brazil,Iporá
-16.91032,-71.8348588,Peru,Mollendo
-16.9172638,145.7750398,Australia,Cairns
-16.9264841,145.6938305,Australia,Cairns
-16.9541103,-53.5250688,Brazil,Mineiros
-16.9772175,145.7379675,Australia,Cairns
-17.0147688,-44.0616024,Brazil,Bocaiúva
-17.0389934,-47.9460918,Brazil,Pires do Rio
-17.0498508,-51.1065424,Brazil,Iporá
-17.0527577,128.197261,Australia,Halls Creek
-17.0755986,-43.3308689,Brazil,Bocaiúva
-17.1025429,145.1061241,Australia,Atherton
-17.1049495,-49.2176536,Brazil,Goiânia
-17.1099066,-39.1827366,Brazil,Itamaraju
-17.1221457,145.6963062,Australia,Cairns
-17.1330602,128.1738533,Australia,Halls Creek
-17.1528992,125.4679053,Australia,Halls Creek
-17.1917956,-39.9812074,Brazil,Itamaraju
-17.1928635,-44.8167636,Brazil,Pirapora
-17.1960356,-51.9379058,Brazil,Jataí
-17.2029292,-50.0908758,Brazil,Trindade
-17.2080817,-50.1278872,Brazil,Trindade
-17.222718,145.4726511,Australia,Atherton
-17.2364178,145.649785,Australia,Atherton
-17.2604439,145.4937612,Australia,Atherton
-17.2809909,-49.3970245,Brazil,Morrinhos
-17.2947336,-47.7571156,Brazil,Pires do Rio
-17.3061024,-53.2204605,Brazil,Mineiros
-17.3597453,-42.993436,Brazil,Bocaiúva
-17.390842,145.9096945,Australia,Innisfail
-17.4371412,-50.4278342,Brazil,Rio Verde
-17.5265697,-50.1936587,Brazil,Rio Verde
-17.5285096,-50.192374,Brazil,Rio Verde
-17.5889806,-149.8404396,French Polynesia,Papeete
-17.5928841,145.7354908,Australia,Innisfail
-17.6651854,-52.2300332,Brazil,Mineiros
-17.6691945,-39.2257856,Brazil,Nova Viçosa
-17.6863948,-52.0194282,Brazil,Jataí
-17.6885108,-40.1089298,Brazil,Nanuque
-17.6886135,-52.9511585,Brazil,Mineiros
-17.7271205,-48.6279221,Brazil,Morrinhos
-17.7448203,-39.5759216,Brazil,Nova Viçosa
-17.7676992,-71.1883902,Peru,Ilo
-17.7819846,23.3308558,Namibia,Luiana
-17.7871322,23.7783797,Namibia,Katima Mulilo
-17.7873174,-51.0298375,Brazil,Rio Verde
-17.7918737,-49.5726259,Brazil,Morrinhos
